Time,Frame,Person_ID,Event,Type
7.08,177,36,EXIT,initial
7.36,184,34,EXIT,initial
7.36,184,66,ENTRY,initial
7.40,185,50,ENTRY,initial
7.48,187,23,EXIT,initial
7.64,191,23,EXIT,initial
7.68,192,67,ENTRY,initial
7.72,193,34,EXIT,initial
7.76,194,23,EXIT,initial
7.88,197,23,EXIT,initial
7.92,198,54,EXIT,crossed
7.92,198,56,EXIT,initial
7.96,199,36,EXIT,initial
8.00,200,68,EXIT,initial
8.20,205,23,EXIT,initial
8.20,205,26,ENTRY,initial
8.32,208,12,ENTRY,crossed
8.32,208,26,ENTRY,initial
8.40,210,26,ENTRY,initial
8.48,212,26,ENTRY,initial
8.60,215,23,EXIT,initial
8.64,216,35,ENTRY,initial
8.96,224,69,EXIT,initial
9.00,225,41,EXIT,initial
9.04,226,66,ENTRY,initial
9.12,228,66,ENTRY,initial
9.20,230,41,EXIT,initial
9.28,232,41,EXIT,initial
9.48,237,69,EXIT,initial
9.48,237,66,ENTRY,initial
9.60,240,35,ENTRY,initial
9.64,241,36,EXIT,initial
9.64,241,41,EXIT,initial
9.72,243,13,EXIT,initial
9.76,244,69,EXIT,initial
9.84,246,2,EXIT,initial
9.96,249,41,EXIT,initial
10.00,250,36,EXIT,initial
10.00,250,35,ENTRY,initial
10.00,250,2,EXIT,initial
10.08,252,73,ENTRY,initial
10.20,255,56,EXIT,initial
10.20,255,36,EXIT,initial
10.32,258,13,EXIT,initial
10.36,259,76,EXIT,initial
10.36,259,56,EXIT,initial
10.40,260,77,ENTRY,initial
10.40,260,36,EXIT,initial
10.40,260,13,EXIT,initial
10.60,265,36,EXIT,initial
10.80,270,23,ENTRY,crossed
10.80,270,79,EXIT,initial
10.80,270,80,EXIT,initial
10.84,271,81,EXIT,initial
10.92,273,13,EXIT,initial
10.96,274,80,EXIT,initial
11.08,277,36,EXIT,initial
11.12,278,82,EXIT,initial
11.12,278,13,EXIT,initial
11.20,280,85,EXIT,initial
11.20,280,86,EXIT,initial
11.20,280,76,EXIT,initial
11.24,281,81,EXIT,initial
11.28,282,82,EXIT,initial
11.28,282,12,ENTRY,initial
11.32,283,73,ENTRY,initial
11.32,283,85,EXIT,initial
11.32,283,86,EXIT,initial
11.36,284,12,ENTRY,initial
11.40,285,48,ENTRY,crossed
11.44,286,81,EXIT,initial
11.48,287,86,EXIT,initial
11.56,289,80,EXIT,initial
11.56,289,76,EXIT,initial
11.56,289,86,EXIT,initial
11.60,290,81,EXIT,initial
11.80,295,87,ENTRY,initial
11.88,297,89,ENTRY,initial
11.88,297,69,EXIT,initial
